Solution	Feasible	UC_Riding	UC_Walking	UC_Waiting	Con_Time	Objective	Obj_Time
7_5_7_2_3_3_4_2_2_2_2_3_5_11_4_5_3_3_5_5_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-170993.035486581327859	0.009000000000000
6_6_6_2_3_3_4_2_2_2_1_3_5_10_4_5_3_3_5_8_3_4_4_1	1	1092786.650235336739570	14020.566892583021399	2319708.489914554171264	1.354000000000000	-168463.518285077152541	0.013000000000000
6_8_7_2_3_3_4_2_2_2_1_3_5_10_4_5_3_3_5_4_3_4_5_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-171057.292616029502824	0.011000000000000
7_9_7_2_3_3_4_2_2_2_1_3_5_8_4_5_3_3_5_5_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-169060.714794781437377	0.020000000000000
7_6_6_2_3_3_6_2_2_2_1_3_5_9_4_5_3_3_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-169106.073572213063017	0.011000000000000
7_6_5_2_3_3_6_2_2_2_1_3_5_10_4_5_3_3_5_4_3_4_4_1	1	1093798.470825851894915	13720.789895766214613	2372918.478637394029647	1.233000000000000	-168895.402507920342032	0.010000000000000
6_6_6_2_3_3_6_2_2_2_1_3_5_10_4_5_3_3_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-166946.683469503303058	0.010000000000000
5_8_7_2_3_3_4_3_2_2_1_3_5_9_4_5_3_3_5_4_3_4_4_2	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-167119.793760932137957	0.013000000000000
6_7_6_2_3_3_4_2_2_2_1_3_5_10_4_6_3_3_5_6_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-167554.048940188018605	0.010000000000000
7_5_7_2_3_3_6_2_2_2_1_3_5_10_4_5_3_3_5_4_3_4_4_1	1	1098403.670847952831537	14000.894507729517500	2308307.643110000994056	1.515000000000000	-170715.792046684451634	0.008000000000000
7_5_7_3_3_3_4_2_2_2_1_3_5_11_4_5_3_3_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-170576.922368603234645	0.010000000000000
7_5_6_2_3_3_7_2_2_2_1_3_5_10_4_5_3_3_5_4_3_4_4_1	1	1097752.775919129606336	13889.938738852095412	2350277.944391394499689	1.489000000000000	-170027.161623020365369	0.009000000000000
7_5_7_2_3_3_6_2_2_2_1_3_5_9_4_6_3_3_5_5_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-167837.621172456187196	0.013000000000000
6_7_6_2_3_3_4_5_2_2_1_3_5_8_4_5_3_3_5_4_3_4_4_3	1	1090751.470308290561661	14161.217018401039240	2251957.345924954395741	0.953000000000000	-170015.514743316365639	0.007000000000000
6_6_7_2_3_3_6_2_2_2_1_3_5_10_4_5_3_3_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-168014.922075821057661	0.011000000000000
7_6_6_2_3_3_4_2_2_2_1_3_5_11_4_5_3_3_5_5_3_4_4_1	1	1094615.242532807169482	13793.795880169407610	2305270.477887024637312	1.564000000000000	-170539.973497497499920	0.011000000000000
6_6_6_2_3_3_4_2_2_2_1_3_5_9_4_5_3_4_5_8_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-167089.961781463644002	0.021000000000000
7_6_7_2_3_3_5_2_2_2_1_3_5_10_4_5_3_3_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-172051.045602920465171	0.009000000000000
7_5_7_2_3_3_6_2_2_2_1_3_5_9_4_5_3_4_5_5_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-167801.870935848826775	0.011000000000000
7_6_7_2_3_3_6_2_2_2_1_3_5_9_4_5_3_3_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-170316.520212703850120	0.009000000000000
