route_id,service_id,trip_id,realtime_trip_id,trip_headsign,trip_short_name,trip_long_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
17562,2706,285269188,IFF:IC:2875,Enschede,2875,Intercity,0,264061,1270054,0,1
17562,2487,285269207,IFF:IC:2873,Alkmaar,2873,Intercity,0,,1359602,0,1
17562,2487,285269238,IFF:IC:2875,Alkmaar,2875,Intercity,0,,1359602,0,1
17562,2487,285269244,IFF:IC:2867,Alkmaar,2867,Intercity,0,,1359602,0,1
17562,2664,285269419,IFF:IC:2885,Enschede,2885,Intercity,0,264319,1270054,0,1
17562,2611,285269433,IFF:IC:2881,Enschede,2881,Intercity,0,264336,1270054,0,1
17562,2732,285269485,IFF:IC:2826,Rotterdam Centraal,2826,Intercity,1,264394,1270053,0,1
17562,2706,285269544,IFF:IC:2837,Enschede,2837,Intercity,0,264458,1270054,0,1
17562,2611,285269548,IFF:IC:2878,Rotterdam Centraal,2878,Intercity,1,264463,1270053,0,1
17562,2487,285269552,IFF:IC:2848,Rotterdam Centraal,2848,Intercity,1,,1359603,0,1
17562,2706,285269611,IFF:IC:2886,Rotterdam Centraal,2886,Intercity,1,264533,1270053,0,1
17562,2706,285269651,IFF:IC:2860,Rotterdam Centraal,2860,Intercity,1,264577,1270053,0,1
17562,2487,285269687,IFF:IC:2840,Rotterdam Centraal,2840,Intercity,1,,1359603,0,1
17562,2487,285269697,IFF:IC:2869,Alkmaar,2869,Intercity,0,,1359602,0,1
17562,2732,285269709,IFF:IC:2828,Rotterdam Centraal,2828,Intercity,1,264643,1270053,0,1
17562,2487,285269754,IFF:IC:2885,Amsterdam Centraal,2885,Intercity,0,,1359602,0,1
17562,2487,285269759,IFF:IC:2858,Rotterdam Centraal,2858,Intercity,1,,1359603,0,1
17562,2706,285269795,IFF:IC:2826,Rotterdam Centraal,2826,Intercity,1,264738,1270053,0,1
17562,2732,285269798,IFF:IC:2876,Rotterdam Centraal,2876,Intercity,1,264741,1270053,0,1
17562,2487,285269799,IFF:IC:2876,Rotterdam Centraal,2876,Intercity,1,,1359603,0,1
17562,2487,285269891,IFF:IC:2850,Rotterdam Centraal,2850,Intercity,1,,1359603,0,1
17562,2487,285269927,IFF:IC:2843,Alkmaar,2843,Intercity,0,,1359602,0,1
17562,2706,285269933,IFF:IC:2838,Rotterdam Centraal,2838,Intercity,1,264890,1270053,0,1
17562,2487,285269963,IFF:IC:2874,Rotterdam Centraal,2874,Intercity,1,,1359603,0,1
17562,2706,285270006,IFF:IC:2857,Enschede,2857,Intercity,0,264971,1270054,0,1
17562,2706,285270022,IFF:IC:2885,Enschede,2885,Intercity,0,264989,1270054,0,1
17562,2487,285270026,IFF:IC:2854,Rotterdam Centraal,2854,Intercity,1,,1359603,0,1
17562,2706,285270093,IFF:IC:2854,Rotterdam Centraal,2854,Intercity,1,265067,1270053,0,1
17562,2706,285270175,IFF:IC:2873,Enschede,2873,Intercity,0,265158,1270054,0,1
17562,2706,285270184,IFF:IC:2847,Enschede,2847,Intercity,0,265168,1270054,0,1
17562,2706,285270227,IFF:IC:2839,Enschede,2839,Intercity,0,265216,1270054,0,1
17562,2487,285270241,IFF:IC:2879,Amsterdam Centraal,2879,Intercity,0,,1359602,0,1
17562,2664,285270252,IFF:IC:2888,Rotterdam Centraal,2888,Intercity,1,,1270053,0,1
17562,2487,285270256,IFF:IC:2861,Alkmaar,2861,Intercity,0,,1359602,0,1
