Solution	Feasible	UC_Riding	UC_Walking	UC_Waiting	Con_Time	Objective	Obj_Time
6_6_8_4_3_3_4_3_2_2_1_3_5_6_4_5_4_5_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-657304.127870020340197	0.043000000000000
7_5_7_3_3_3_4_2_2_2_3_3_5_7_4_5_4_5_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-662878.200510781258345	0.042000000000000
6_6_8_4_3_3_4_3_2_2_1_3_5_5_4_5_3_5_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-645720.996035338612273	0.046000000000000
8_5_7_3_3_3_4_2_2_2_3_3_5_6_4_5_3_5_5_4_3_4_5_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-658954.322964699123986	0.063000000000000
9_5_7_2_3_3_4_2_2_2_4_3_6_6_4_5_3_4_5_4_3_4_4_1	1	1108733.209881520131603	14483.098626000417426	2236826.768237811047584	0.905000000000000	-660367.946245806990191	0.061000000000000
5_6_8_4_3_3_4_3_2_2_1_3_5_6_4_5_3_5_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-644971.301650523440912	0.045000000000000
6_6_6_2_3_3_4_2_2_2_3_3_5_8_4_5_3_7_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-653484.138523921952583	0.050000000000000
6_6_8_3_3_3_4_3_2_2_1_3_5_6_4_5_3_5_5_4_3_4_4_1	1	1093517.285136098973453	14350.894539206059562	2206142.449310175608844	0.915000000000000	-646411.888359774253331	0.044000000000000
8_5_7_2_3_3_4_2_2_2_3_3_6_7_4_5_3_4_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-654724.788009476382285	0.075000000000000
6_5_8_4_3_3_4_3_2_2_2_3_5_6_4_5_3_5_5_4_3_4_4_1	1	1094986.936512073269114	14362.533413953635318	2208057.432846535462886	1.006000000000000	-655058.551286006229930	0.060000000000000
6_6_8_3_3_3_4_3_2_2_2_3_5_6_4_5_3_5_5_4_3_4_4_1	1	1093575.352351076900959	14350.925240152035258	2183171.804028083570302	0.822000000000000	-652587.626145447022282	0.063000000000000
6_6_7_4_3_3_4_3_2_2_2_3_5_6_4_5_3_5_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-656938.181355223408900	0.056000000000000
6_6_8_4_3_3_4_2_2_2_2_3_5_6_4_5_3_5_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-655796.851846839650534	0.048000000000000
7_5_6_2_3_3_4_2_2_2_3_3_5_7_4_5_3_6_5_4_3_4_4_1	1	1098214.145107185933739	14032.238486291254958	2272052.060343550052494	1.567000000000000	-650408.256982913590036	0.043000000000000
6_5_8_4_3_3_4_3_2_2_2_3_5_6_4_5_3_5_6_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-655058.551286006229930	0.058000000000000
6_5_8_4_3_3_4_3_2_2_2_3_5_6_4_5_4_5_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-655381.447940913611092	0.057000000000000
6_5_7_4_3_3_4_3_2_2_2_3_5_7_4_5_3_5_5_4_3_4_4_2	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-660207.852621564175934	0.044000000000000
6_5_8_4_3_3_4_3_2_2_2_3_5_6_4_5_3_5_5_4_3_4_5_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-654191.735747690661810	0.054000000000000
6_5_8_4_3_3_5_3_2_2_2_3_5_6_4_5_3_5_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-655058.551286006229930	0.048000000000000
6_5_8_4_3_3_4_3_2_2_2_3_5_6_4_5_3_5_5_4_3_4_4_2	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-656837.967352255247533	0.048000000000000
6_5_8_4_3_3_4_3_2_3_2_3_5_6_4_5_3_5_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-655058.551286006229930	0.047000000000000
8_5_8_2_3_3_4_2_2_2_3_3_6_6_4_5_3_5_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-659368.112670405535027	0.044000000000000
