ID	Type	Line	Tail	Head	Time
908	2	15	386	47	0
909	1	15	111	387	0
910	2	15	387	111	0
911	1	15	92	388	0
912	2	15	388	92	0
913	1	15	65	389	0
914	2	15	389	65	0
915	1	15	56	390	0
916	2	15	390	56	0
917	1	15	72	391	0
918	2	15	391	72	0
919	0	16	392	393	1
920	0	16	393	394	1
921	0	16	394	395	2
922	0	16	395	396	6
923	0	16	396	397	2
924	0	16	397	398	1
925	0	16	398	399	1
926	0	16	399	400	1
927	0	16	400	401	2
928	0	16	401	402	2
929	0	16	402	403	1
930	0	16	403	404	1
931	0	16	404	405	1
932	0	16	405	406	2
933	0	16	406	407	2
934	0	16	407	408	43
935	0	16	408	407	41
936	0	16	407	406	0
937	0	16	406	409	1
938	0	16	409	405	1
939	0	16	405	404	1
940	0	16	404	403	1
941	0	16	403	402	2
942	0	16	402	401	2
943	0	16	401	400	1
944	0	16	400	399	1
945	0	16	399	410	1
946	0	16	410	411	1
947	0	16	411	396	2
948	0	16	397	395	5
949	0	16	395	394	3
950	0	16	394	393	1
951	0	16	393	392	1
952	1	16	91	392	0
953	2	16	392	91	0
954	1	16	55	393	0
955	2	16	393	55	0
956	1	16	82	394	0
957	2	16	394	82	0
958	1	16	57	395	0
959	2	16	395	57	0
960	1	16	72	396	0
961	2	16	396	72	0
962	1	16	73	397	0
963	2	16	397	73	0
964	1	16	74	398	0
965	2	16	398	74	0
966	1	16	58	399	0
967	2	16	399	58	0
968	1	16	61	400	0
969	2	16	400	61	0
970	1	16	93	401	0
971	2	16	401	93	0
972	1	16	39	402	0
973	2	16	402	39	0
974	1	16	45	403	0
975	2	16	403	45	0
976	1	16	63	404	0
977	2	16	404	63	0
978	1	16	12	405	0
979	2	16	405	12	0
980	1	16	51	406	0
981	2	16	406	51	0
982	1	16	47	407	0
983	2	16	407	47	0
984	1	16	111	408	0
985	2	16	408	111	0
986	1	16	92	409	0
987	2	16	409	92	0
988	1	16	65	410	0
989	2	16	410	65	0
990	1	16	56	411	0
991	2	16	411	56	0
992	0	17	412	413	1
993	0	17	413	414	2
994	0	17	414	415	1
995	0	17	415	416	1
996	0	17	416	417	1
997	0	17	417	418	2
998	0	17	418	419	0
999	0	17	419	420	2
1000	0	17	420	421	2
1001	0	17	421	422	1
1002	0	17	422	423	1
1003	0	17	423	424	2
1004	0	17	424	425	1
1005	0	17	425	426	23
1006	0	17	426	425	28
1007	0	17	425	424	1
1008	0	17	424	423	2
1009	0	17	423	422	1
1010	0	17	422	421	2
1011	0	17	421	427	2
1012	0	17	427	420	1
1013	0	17	420	419	1
1014	0	17	419	418	1
1015	0	17	418	417	2
